2021-10-25 08:03:36.9935||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-25 08:03:41.0578|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-25 08:03:42.5503||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-25 08:03:42.5503||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-25 08:03:42.5678||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-25 22:59:05.4314||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-25 22:59:11.0494|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-25 22:59:12.2385||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-25 22:59:12.2435||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-25 22:59:12.2435||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-25 23:13:38.8996||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-25 23:13:41.2205|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-25 23:13:42.2210||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-25 23:13:42.2210||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-25 23:13:42.2303||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
2021-10-25 23:18:22.5978||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-25 23:18:24.8284|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-25 23:18:25.7569||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-25 23:18:25.7602||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-25 23:18:25.7602||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\vuondauBE\VuonDau.WebApi |url: |action: 
